model_num,test_acc,test_loss,train_acc,train_loss,g_gap,mqBE_L1,mqBE_L2,mqBE_L3,mqBE_L4,mqBE_L5,mqAE_L1,mqAE_L2,mqAE_L3,mqAE_L4,mqAE_L5,erBE_L1,erBE_L2,erBE_L3,erBE_L4,erBE_L5,erAE_L1,erAE_L2,erAE_L3,erAE_L4,erAE_L5
100,0.8881,0.3454236644744873,0.94798,0.15735730123519898,-0.059879999999999996,0.7239980603249629,0.7419105240387971,0.7027065989903541,0.6673870288890978,0.6411767923367891,0.7728647309380581,0.9729484344914144,0.5503266180349342,0.5427234229043711,0.363884678907465,2.5822415,2.6908178933643985,2.465385208065596,3.1249513154294055,3.0406186768849457,1.1415596,1.308620071411133,1.0037913339889684,1.358532618253659,1.1870600350047873
10000,0.9026000000000001,0.32911043100357057,0.97468,0.08402687319755554,-0.07207999999999998,0.6534011820827017,0.6856561123872779,0.6218534900273128,0.6191783886622235,0.597801212767293,0.49050585093942867,0.6768708635481498,0.3579124003064113,0.3533932413619919,0.2882022688387166,2.9685547,3.0402798894635783,2.8686643997334342,3.2440435661820466,3.210404509230987,1.5197266,1.6120922841857062,1.4150869707652127,1.5247042812407017,1.4369148092319555
10005,0.9143000000000001,0.2953622090816498,0.9873000000000001,0.04764036608934402,-0.07299999999999997,0.6302137155048175,0.6631519264270707,0.5973172599272126,0.5864402238414811,0.5587972281144152,0.3877552596595236,0.5307788793255207,0.30178150176912977,0.3504726243862864,0.27619936026022995,3.2320218,3.2789546849512488,3.1529680986301334,3.4015614949828783,3.3842466002952283,1.7255217,1.8216163362509765,1.6080229319166248,1.7618802901237243,1.6302029723854434
10017,0.9098,0.31508765749931333,0.98346,0.057942295446395876,-0.07366,0.623476353601729,0.6439731290684794,0.6050152553746135,0.6127079432399025,0.6011996920893398,0.3325790137646707,0.3710809670668482,0.30364615601230494,0.3033797189239517,0.28434381558245897,3.1507409,3.2049135937091013,3.0667322988954773,3.352162938193139,3.3281579258702925,1.6248863,1.6960890175293628,1.531945698176974,1.6178659254045629,1.5425946466946976
10029,0.9148000000000001,0.29960146269798277,0.9920399999999999,0.03275691562533379,-0.07723999999999989,0.5929389811455866,0.6165929511459279,0.5685136136601352,0.5723025665703062,0.5506991171847166,0.26957100396373546,0.2976497746950481,0.24685766649079696,0.2454104178547965,0.22991861728402535,3.33454,3.386776164574475,3.2460619997783984,3.519042996697764,3.5005292031481483,1.8307556,1.8805890414050095,1.7760988566688787,1.8749576980643987,1.8297307718204916
1003,0.9114,0.31416947689056396,0.98942,0.04103589258313179,-0.07801999999999992,0.5836795975894378,0.6135661266080948,0.5571372350559981,0.5388915562824592,0.5237496351594743,0.4136704406744884,0.55898949794596,0.3143831066311018,0.2591251135216025,0.2226595851462238,2.9034264,3.0557828234806275,2.7253006328950495,3.581251013379137,3.4953793060669893,1.8097253,1.897457440694173,1.701828580807599,2.0314284173491735,1.9623462011878952
10056,0.9044,0.34859317026138303,0.9806,0.06803260026454926,-0.07620000000000005,0.6598228279615796,0.6817866032380209,0.6384431636660026,0.6317847685077154,0.6147386211497551,0.5613375909479569,0.7418691745101719,0.41952185467146047,0.40626530458386756,0.32701239411617233,2.9465241,3.02890224499287,2.8381471301292196,3.3046219132590813,3.258278148193593,1.6570122,1.7278756097679595,1.5705523584556513,1.7188719552138756,1.641259142540662
10084,0.9143000000000001,0.30530907435417176,0.9921599999999999,0.031764688692092896,-0.07785999999999987,0.5903733615606876,0.6162846145764255,0.5669229437869403,0.5755537447291653,0.5590878765899152,0.27877234447725374,0.3563141529411617,0.24416531437597203,0.2424793873601483,0.2286489197797755,3.3177636,3.3690101870048452,3.2315189947507794,3.4972439423313846,3.478626323320657,1.816679,1.881002321984959,1.73232151576111,1.8171553547041757,1.7309500832653353
10092,0.9227,0.2841550061225891,0.9933,0.02935199617385864,-0.07060000000000002,0.5850811899865611,0.6115657205776002,0.5612607963829553,0.5700067298925554,0.5538127324729882,0.27372604795738814,0.3494977033421601,0.24172960435410734,0.2343836869548319,0.2230423121537416,3.336947,3.3908963272897403,3.247765276787061,3.5306759071622964,3.509982452145974,1.8867313,1.9293286572213655,1.8430850162872054,1.8839754925833807,1.8404914994575021
10117,0.9057999999999999,0.33889467287063596,0.98698,0.04862061772823334,-0.08117999999999995,0.6403689765994764,0.6950871998922078,0.5860728468756456,0.5430947142863776,0.5066873464733899,0.3386892524955683,0.4863935598050582,0.2553474717380936,0.23291119392427717,0.20457597845541522,3.1224272,3.2101103909503146,3.000857159984126,3.4929850202845776,3.454015680368488,1.8850989,1.9601210327440821,1.8030830951491172,2.0011414197704442,1.9316147263169576
10128,0.9098,0.3328105085849762,0.9866800000000001,0.04991691374778748,-0.07688000000000002,0.6460859915965668,0.6690597128095703,0.6247126588578393,0.6098029049110402,0.5957960092559504,0.4614025471848085,0.6283813134777269,0.3461624438604274,0.2957117532250724,0.2525704026100875,3.0417206,3.1283561331435625,2.9253757435970438,3.423850773494578,3.3763388318864687,1.6447675,1.7256940887413617,1.5400753987661966,1.7891612249948532,1.7206519616865208
10202,0.9172,0.3054285545825958,0.9935200000000001,0.02803017523288727,-0.07632000000000005,0.5974136654484312,0.6211719106199789,0.5771657528988487,0.5880671802610431,0.5756128390219367,0.35170214058399807,0.5000783291129921,0.2760234302622752,0.2934223955970529,0.24308935938673962,3.2639503,3.3251803049800257,3.171630716974554,3.5408888897974453,3.505016739144236,1.8932803,1.9461497732289301,1.8280999981048902,1.926487716039022,1.864938120411553
10227,0.922,0.2910119821548462,0.996,0.02042470104277134,-0.07399999999999991,0.5454254377505654,0.5694412949177383,0.5262894667848941,0.5404389377285499,0.5311728030458321,0.27538787188917563,0.3596447449414672,0.23594897390515696,0.23056150845533463,0.21520405152607378,3.3785539,3.444936444191446,3.276727349837799,3.661202845223453,3.6279699954613713,2.0295565,2.0892081989712517,1.9516358210224767,2.0958135727124336,2.022672835452872
10233,0.9218000000000001,0.295058201789856,0.9953400000000001,0.021932950983047487,-0.07354,0.5669665064984544,0.5900453395269384,0.5480995736987808,0.5418671349455549,0.529322364002598,0.3128962005584245,0.39021506177137144,0.2698646205231592,0.24578311610288076,0.2276494621676834,3.298203,3.378170024667761,3.1860613911015596,3.675097811367257,3.6311441802065163,2.054599,2.1007877483015607,1.9863784194556562,2.1661508374887966,2.122695067852941
10294,0.9081,0.3067098830699921,0.9814799999999999,0.06476275050640107,-0.07337999999999995,0.622224333960729,0.6652194983780493,0.5801528611834186,0.5268312853798035,0.5018783748745804,0.42018263855700616,0.5982339120565234,0.3008330422156793,0.30783936148843466,0.23659161946380444,3.0873318,3.1909158369802886,2.950600750907617,3.5373170914612415,3.48951560579179,1.7501909,1.8531794112297044,1.6304646482663336,1.922315832939887,1.8156038189748676
10305,0.8867,0.36894476718902586,0.9459399999999999,0.1640074747133255,-0.059239999999999925,0.7225299298023133,0.7526611025718797,0.6941400231950491,0.6405138974561577,0.6228728639288335,0.779906292314753,0.9807757645871336,0.5620007301376301,0.615613957536245,0.43431805917296956,2.7778947,2.841314511707163,2.6952590546298807,3.060797205633916,3.0200424728333384,1.6132447,1.68318396819074,1.5312018735184687,1.5657676795254583,1.4721274615999358
10308,0.8954000000000001,0.33738127403259277,0.9573,0.12804785736083985,-0.061899999999999976,0.6961360238177698,0.741940709271395,0.6530423455371684,0.5913132272214409,0.5666598836637784,0.5345532155459347,0.7343480530671503,0.37357738101434546,0.4162920790769154,0.29828792615697586,2.901128,2.973380473910217,2.804767896427484,3.2138643011293913,3.1749841800547975,1.6321095,1.7321353732289562,1.526433829036486,1.7223364186286927,1.6208883633779028
10324,0.9068,0.3034161110877991,0.9716400000000001,0.09241423596382141,-0.06483999999999995,0.6703694984995165,0.6986882089202469,0.6412541807959323,0.6107683019231195,0.5871416469886033,0.5277451049185814,0.7275248840415611,0.3745253134700308,0.4288189283811119,0.3137542105845401,3.06531,3.1130977791266656,2.990694316150967,3.2550780207887433,3.233130487500905,1.4814086,1.624289639741219,1.3239940985240672,1.544965876473321,1.3755613802878324
1037,0.8737999999999999,0.39061569390296935,0.9193399999999999,0.2342569233751297,-0.04554000000000002,0.6500072634263568,0.6866851467573862,0.6131179003944568,0.5449709996342251,0.5119240144837234,0.8728269535796163,1.050778052832871,0.6340591209990784,0.6796414324486543,0.42507003449434766,2.451486,2.556501855475603,2.3425936140061636,3.004963013899086,2.9080696046849397,1.4350175,1.6276639988140447,1.2437336127803686,1.741985155690101,1.486589998330318
10374,0.8996999999999999,0.31925721950531005,0.97304,0.0884047967195511,-0.07334000000000003,0.6725545939630381,0.7214603989352105,0.6251091345826424,0.5582581539394376,0.5266496286294833,0.4279949228285304,0.599242233903464,0.31442747856134556,0.32642205392490936,0.2512742696810008,3.0223014,3.1005047741126606,2.915297887795229,3.366825335305016,3.327482596816344,1.656204,1.7860109749875823,1.5140187379341983,1.7623297012213506,1.596566344888853
1040,0.8384999999999999,0.47627752356529235,0.8705200000000001,0.37748078864097595,-0.032020000000000125,0.694264030670678,0.7228029136642533,0.6670112014570553,0.6434023329356687,0.6226663680827507,1.0380421531616395,1.1521822027526794,0.8762403874405835,0.9348091209406706,0.7220573932565677,2.2502503,2.32434205597226,2.174707371147081,2.591689040936322,2.51969640135656,1.1654488,1.2698419773104235,1.0595026859391494,1.135224598646164,1.039270057121711
10401,0.9073,0.3140143780708313,0.97336,0.08663748151779174,-0.06605999999999995,0.644174325062344,0.6662787927924336,0.6225378094770074,0.6149265387198605,0.5995621451108685,0.5726344428460889,0.7534759457622796,0.42772336088647006,0.5018409625218005,0.37697628114448245,3.0859876,3.136666123161066,3.007551307669249,3.280744276028793,3.2565152445896013,1.5506592,1.6486921592668444,1.4329380467212545,1.5221880510312702,1.4137769635738455
10413,0.9174,0.2884084274291992,0.98934,0.04176472198724747,-0.07194000000000003,0.6129291256524168,0.6438637131341324,0.5833612011422941,0.5701027796282322,0.5472009758291737,0.3966794817227126,0.5562233478353066,0.29400883340117845,0.33887103754739506,0.2571157624519339,3.2706904,3.322872024682658,3.185521067344609,3.4717555408653578,3.4503565458716796,1.6712826,1.7790894508361816,1.5447535931563976,1.7313291753173634,1.602720596418263
10426,0.9136,0.2922959044456482,0.9847,0.05399165339231491,-0.0711,0.6118188754437828,0.6427199702237685,0.5851332901249062,0.5712354135289556,0.5555330785967181,0.33685528566495043,0.4500535293543486,0.27986320870945897,0.2810098422298509,0.24511953155094632,3.2034886,3.261517729305375,3.1164959685319675,3.47110077505857,3.435853818337369,1.637905,1.7298338640104924,1.5239342705483039,1.6824290264372859,1.5825341753991904
10434,0.8972,0.3483773463249207,0.96478,0.109280065305233,-0.06757999999999996,0.6138300994632326,0.6633310454430151,0.5725866514534667,0.5434121885929225,0.522928019464238,0.36525934693861223,0.4928084674320867,0.2978003435967816,0.2851165791323739,0.2608691645379959,2.9340413,3.0018892736320337,2.83890187371338,3.192985465715956,3.1619875706178213,1.7261677,1.8049309398261966,1.6263907647957085,1.6948806412261108,1.5926527318267867
10443,0.9065000000000001,0.3198166144371033,0.97368,0.08429350485086441,-0.06717999999999989,0.5978558315739585,0.6381112422573071,0.5632791515497035,0.5463182544729489,0.5265996069314702,0.43866975275731857,0.6218752998128334,0.32883429314474383,0.3831147811822428,0.30097344982902957,3.0818996,3.127510507594331,3.0090506952528986,3.2473869248533513,3.2286010984981135,1.7335596,1.8236627693278566,1.6256876702095238,1.754126094341278,1.6527361211935196
10459,0.9113,0.2957193335533142,0.9815600000000001,0.06193476487994194,-0.0702600000000001,0.5867602044409977,0.6195414446628514,0.5592008893777594,0.5560391470251377,0.5386035873029787,0.3696944291086622,0.49469827963591323,0.29474233510473363,0.34118078241997457,0.27981351763645645,3.2006004,3.242403395162773,3.1276437340667274,3.3317604913825276,3.318835209202296,1.5966514,1.6946547109350953,1.4865517299444475,1.5845559383260792,1.4713756075514226
10463,0.9168000000000001,0.28610906596183777,0.99012,0.04022536920428276,-0.07331999999999994,0.5484690182930902,0.5933054170961941,0.5089183119160685,0.48498309020652286,0.4524850123694997,0.2884492641909515,0.3710035431925199,0.24527223449453817,0.2334737722143249,0.20942899714933116,3.2762399,3.3272527510479004,3.1925910883938826,3.482578960030529,3.460992362709482,1.818818,1.9166192058047948,1.7017983797848801,1.9073258664726553,1.7817692450051155
1047,0.8774,0.36693290882110596,0.94894,0.15714614791870118,-0.0715400000000001,0.6279103096711788,0.664528898846148,0.5907940083211655,0.5423762693894895,0.49850507300190466,0.6052514954674716,0.7853147995185011,0.43222825408426785,0.32501850478809,0.2364612810972573,2.5553699,2.682930716121511,2.424167101064577,3.25624393847791,3.1471044775204233,1.4561211,1.6597084270746574,1.2702811989694962,1.8698771238327025,1.651947295439984
10470,0.9126000000000001,0.3027850059509277,0.9895999999999999,0.04184246250271797,-0.07699999999999989,0.5716864938273538,0.6178094495551483,0.5267152491144756,0.524708276624972,0.48617014385759144,0.3282495677239962,0.44139304250312095,0.2731498124696051,0.2751324332201285,0.2429792336578268,3.2953167,3.3457977053627745,3.2110488457808164,3.4784333904875147,3.459993289375257,1.9117426,1.9748733355690775,1.8462160515971522,1.9496763951437814,1.8711013791780169
10487,0.9227,0.266493896484375,0.99456,0.02577162253379822,-0.07186000000000008,0.5468747773593547,0.5871516753162733,0.5088144087496692,0.5095264856765982,0.4757428072204904,0.27761943127300504,0.35385786866394386,0.24304402904350642,0.2265987724131628,0.2111537286645663,3.3608677,3.4200125057049067,3.266288033318881,3.599954123844374,3.574718585322765,2.0325813,2.081047065399959,1.9852031584138716,2.1197723721971315,2.0665232977731387
10489,0.914,0.3111160813808441,0.98612,0.049791802821159366,-0.07211999999999989,0.5695034294909458,0.6004993789595438,0.5449743732059413,0.5232498695913044,0.5086843988715655,0.36040025204527487,0.465790549992153,0.3041965559693742,0.2969716912302567,0.26054753563168476,3.1929238,3.2573137278231035,3.09922768830747,3.484520405483997,3.448175690190535,1.7994534,1.859769760625762,1.7244733026354502,1.8412771185239156,1.775167943121308
10496,0.8939,0.3593965343952179,0.97276,0.08708819261789322,-0.07885999999999996,0.680376929998,0.7182472622217222,0.6398085162840094,0.6156139512755734,0.5827988059515391,0.48825728231840404,0.6817194509022033,0.35384146101286856,0.3141485031811968,0.26753099868013036,2.8384628,2.9362492490535628,2.7174027416566324,3.254955213697333,3.2026081346026043,1.4824072,1.5798130148133511,1.3626830828815117,1.5367059935222973,1.4323978626271971
10501,0.9029,0.3257982844352722,0.9803400000000001,0.06778436836481094,-0.07744,0.6385381059777249,0.7055300010214929,0.5732824025947247,0.5373875072114527,0.49740436217176637,0.3891076606247348,0.5724468796166119,0.2816654051525728,0.31626409413706125,0.24001040139367705,3.0838447,3.1637698695897765,2.9717355406762778,3.400366687774658,3.367531125806891,1.8289711,1.9400090623367263,1.682162471591451,1.9094792223991233,1.7738761162960264
10504,0.8981,0.35488118348121644,0.9749,0.08201530903816223,-0.07679999999999992,0.6254822924486759,0.6525694981972772,0.5999075470559123,0.5811012055170125,0.5635068495681529,0.4617830636074056,0.5899504166160345,0.37177321749800274,0.34303419750350844,0.2990925924113994,2.935987,3.0155999278205936,2.8301059137213476,3.2662173096307057,3.2242333942179098,1.4628525,1.5978504816691081,1.3128604106648853,1.5776278366508807,1.4440735900979875
10528,0.9074,0.3159547117233276,0.9792000000000001,0.06831550107836723,-0.07180000000000007,0.6094603196605524,0.649687114672598,0.5734334816573958,0.5608189117446722,0.5371177304093274,0.3844388762642702,0.5036699322169172,0.31214741201657514,0.2811107272293091,0.2532844792627282,3.0618315,3.142678689699951,2.948583189384859,3.3702563024444046,3.3365436032076152,1.5957369,1.6627886361140227,1.5171739935029014,1.6580618328421655,1.6020780278775015
10532,0.9179,0.28373030004501343,0.98872,0.04242225417971611,-0.07081999999999994,0.5628614306000579,0.5992423423100204,0.5317524388527515,0.5399385159255549,0.5188005328872872,0.30819738975126415,0.38588365222609994,0.2650436597326364,0.2723862669926524,0.2472275539230782,3.2977672,3.3469672260046863,3.2143207907275664,3.458779958055831,3.4424363371474787,1.8234103,1.9165449886924926,1.7091400560626488,1.8213190321336712,1.707675212051307
10533,0.9215000000000001,0.27630576219558717,0.9918399999999999,0.03441004740357399,-0.07033999999999992,0.5732112118619328,0.6143499172133996,0.5343188088516168,0.5423693519851795,0.511126755777611,0.28552787944655134,0.3595696841867796,0.2519574906809273,0.24638422284126468,0.23180423349997703,3.3171296,3.3676642430582615,3.2317642677492886,3.4862252058065057,3.469443229367576,1.8681836,1.9292788737262823,1.8046306329142359,1.887510998954986,1.818309334830518
10542,0.9209,0.2821210652351379,0.99398,0.02888545368552208,-0.07307999999999992,0.5402065892414953,0.5799262815800628,0.5033163156680195,0.5147794933812943,0.48526062802462977,0.26567167873574277,0.34351776226513825,0.2338092889572238,0.22236973698469828,0.21042209715068236,3.3550286,3.411400334232221,3.2624937764566186,3.5556747406842097,3.534914738867282,2.0509813,2.0935227176417674,2.0064248256302957,2.0581048615276814,2.0055637659768952
